Weather Temperature,Humidity,Visibility,Air Pressure,Wind Speed,Datetime
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-19 | Time 23:56
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-19 | Time 23:57
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-19 | Time 23:58
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-19 | Time 23:59
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-20 | Time 00:00
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-20 | Time 00:01
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-20 | Time 00:02
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-20 | Time 00:03
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-20 | Time 00:04
12°C,63%,> 10000 m,1020.0 mb,24 Km/h,Date 2022-Mar-20 | Time 00:05
